trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
416,False,"{'a': 0.4, 'e': 0.015607557919982834}",30,17,23.865508301952985,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.4, 'e': 0.015452260123909519}",25,15,24.270706592835737,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.4, 'e': 0.015298507566725522}",20,7,19.057444373814047,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.4, 'e': 0.015146284873046981}",20,12,15.312934648248127,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.4, 'e': 0.014995576820477707}",20,12,15.26948933793311,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.4, 'e': 0.014846368338086835}",25,15,9.714909084797032,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.4, 'e': 0.014698644504901787}",20,0,27.746048197399443,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
423,False,"{'a': 0.4, 'e': 0.014552390548416127}",25,9,28.480218097897414,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.4, 'e': 0.014407591843112353}",20,1,29.032653284820384,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.4, 'e': 0.014264233908999259}",30,12,34.319763255862156,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.4, 'e': 0.014122302410163965}",20,5,27.480388181060793,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.4, 'e': 0.013981783153338298}",25,15,19.738300787706006,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.4, 'e': 0.013842662086479504}",25,17,14.202879638453862,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.4, 'e': 0.013704925297364948}",20,12,15.495884271118948,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.4, 'e': 0.013568559012200937}",25,8,30.348227684012528,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.4, 'e': 0.013433549594245305}",25,15,22.918484385069362,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.4, 'e': 0.01329988354244377}",35,25,20.63445742205576,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.4, 'e': 0.013167547490079754}",25,11,28.652083485538487,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.4, 'e': 0.01303652820343774}",30,12,35.633210468818476,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.4, 'e': 0.012906812580479866}",25,13,22.363503084116964,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.4, 'e': 0.012778387649535764}",20,16,8.118066037356341,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.4, 'e': 0.012651240568005309}",35,18,29.60109370142848,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.4, 'e': 0.012525358621074388}",25,12,28.49499637237311,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.4, 'e': 0.01240072922044341}",25,12,24.887676183958664,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
